wordText,phoneticScript,syllable,weekNumber,dayNumber,partOfSpeech,definition,example1,example2,synonym1,synonym2,synonym3,synonym4,telugu,tamil,hindi,malayalam
pétition,pəˈtɪʃ ən,puh-tish-uh n,1,4,NOUN,a formal letter to a court of law asking for a particular decision.,They had filed a petition in federal court on behalf of the detainees.,,appeal,list of protesters,list of signatures.,,"అర్జీ, మనవి, దరఖాస్తు, విజ్ఞాపన.",,"अर्जी,विनती,दरख़ास्त",
reveal,/rɪˈvil/,ri-veel,1,5,VERB,to make known or show something that is surprising or that was previously secret.,He was jailed for revealing secrets to the Russians.,,give the show away,release.,tell,,"వెల్లడిచేయు, బయటపెట్టు, వెలువ రించు.",,"दिखाना, बताना,प्रकट करना",
sanitise,/ˈsæn ɪˌtaɪz/,san-i-tahyz,1,4,VERB,to make something completely clean and free from bacteria.,The majority of public swimming pools are sanitized with chlorine.,,decontaminate,purify,sterilize,,పరిసరాల పరిశుభ్రత.,,अच्छी तरह से सफ़ाई करना,
stir,/stɜr/,stur,1,4,VERB,To move or to cause something to move slightly.,She paused to stir some milk into her coffee.,,disturbance,movement,,,"కదిలించు, కదుపు",,"हलचल , मिलाना,उमड़ना",
suffer,ˈsʌf ər,suhf-er,1,5,VERB,to experience physical or mental pain.,She suffers in the winter when it's cold and her joints get stiff.,,be in pain,distress,hurt,,"సహించు, భరించు, అనుభవించు, కష్టపడు",,"सहन करना,सहना",
take,/teɪk/,teyk,1,4,VERB,to get into one's hold or possession by voluntary action,take a pen and begin to write.,,get hold of,get into one's hands,lay hold of,,"తీసుకొను, పట్టుకొను, తెలుసుకొను.",,"पकड़ना, खा लेना,जान लेना",
unconditional,ˌʌn kənˈdɪʃ ə nl,uhn-kuh n-dish-uh-nl,1,4,ADJECTIVE,complete and not limited in any way.,they have my unconditional support..,,"imited by no condition, absolute,categoric.",,,,"నియమము లేని,నిబంధన లేని,షరతులేని.",,"अनियमित,असम्बन्ध,बेशर्त.",
vibrant,/ˈvaɪ brənt/,vahy-bruh nt,1,4,ADJECTIVE,Full of energy and life.,The hope is that this area will develop into a vibrant commercial centre.,,energetic,sparkling,spirited,,"సచేతన, డోలాయమాన, కంప మాన, ప్రతిస్పందించే.",,"जोशपूर्ण, चमकीले और आकर्षक",
wrecked,/rɛkt/,rekt,1,5,ADJECTIVE,very badly damaged.,Just look at what you've done to my coat - it's wrecked.,,demolish,destroy,smash up,,"ధ్వంసమయిన,శిథిలమైన, పాడైన.",,"ध्वस्त, नष्ट,बरबाद",
abduction,/əbˈdʌkʃn/,ab-duhk-shuh n,2,1,NOUN,The action of forcibly taking someone away against their will.,He was charged with abduction.,There has been a series of abductions of young children from schools in the area.,hostage-taking,kidnap,,,"తీసుకొనిపోవడము, అపహరణ",,"अपहरण , अपावर्तन",പിടിച്ചുകൊണ്ടുപോകല്
accomplish,/əˈkɒmplɪʃ/,uh-kom-plish,2,4,VERB,Achieve or complete successfully.,The students accomplished the task in less than ten minutes.,,achieve,acquire,reach,,"సాధించు, నెరవేర్చు, పూర్తిచేయు.",,,"പരിപൂര്‍ണ്ണമാക്കുക,     നിറവേറ്റുക,     സഫലമാക്കുക"
assume,əˈsum,uh-soom,2,3,VERB,to accept something to be true without question or proof.,We mustn't assume the suspects' guilt.,,accept,shoulder,undertake,,"భావించు, ఊహించు, తలంచు, ఆరోపించుకొను",,"ग्रहण करना,रूप बनाना,समझना",
blissful,/ˈblɪs fəl/,blis-fuh l,2,1,ADJECTIVE,Providing perfect happiness or great joy. Extremely happy; full of joy.,We spent a blissful year together before things started to go wrong.,a blissful couple holding a baby.,cheerful,blessed,joyful,,"ఆనందకరమైన, ఆహ్లాదకరమైన.",,,പരമാനന്ദമായ
capsize,/ˈkæp saɪz/,kap-sahyz,2,1,VERB,be overturned in the water.,A passenger ferry capsized in rough seas Sunday morning.,,turn turtle.,turn upside down,upset,,"బోర్లపడు, బోర్లగిల్లు, బోర్లపడవేయు,తలకిందులగు.",,"उलटना , पलटना , उलट जाना",
cattle,/ˈkæt l/,kat-l,2,1,NOUN,"Large ruminant animals with horns and cloven hoofs, domesticated for meat or milk, or as beasts of burden; cows and oxen.",The main form of agriculture was pastoral with cattle and sheep being grazed on unenclosed lands.’,,bovines,bulls,cows,,"పశుగణం,పశువులు, గొడ్లు.",,"गोधन,पशु, गाय-बैल",
choke,/tʃəʊk/,chohk,2,2,VERB,unable to speak because you are upset.,She tried to say a few words but found herself choked.,,fight for breath,gag,retch,,"నులిమివేయు, విఘాతం కలిగించు; ఉక్కిరిబిక్కిరి చేయు, ఆవేశంవల్ల మాట్లాడ లేకపోవు.",,"दम घुटना, गला दबाना",
claim,/kleɪm/,kleym,2,2,VERB,"To say that something is true or is a fact, although you cannot prove it and other people might not believe it.",An unknown terrorist group has claimed responsibility for this morning's bomb attack..,,allegation,assertion,petition,,"దావా వేయు, హక్కు, అర్హత",,,"അവകാശവാദം പുറപ്പെടുവിക്കുക, അധികാരം"
de-facto,/di ˈfæk toʊ/,dee fak-toh,2,1,ADJECTIVE,Existing or holding a specified position in fact but not necessarily by legal right.,He has made the candidates for city council de facto school committee members.,,actual,effective.,existing,,"యథార్థమైన, నిజమైన.",,"तथ्यत: , वस्तुत ,वास्तविक",
death sentence,/ˈdeθ ˌsen.təns/,,2,3,NOUN,a legal punishment of a crime by death.,"In some countries, drug-smuggling still carries the death sentence.",,death warrant,executions,judicial murder,,మరణ శిక్ష/దండన,,मृत्युदण्ड,
debris,/dəˈbri/,deb-ree,2,5,NOUN,Scattered pieces of rubbish or remains.,Debris from the aircraft was scattered over a large area.,,discarded matter,lumber,spoilage.,,"చెత్త, శిథిలావశేషం, వ్యర్థ పదార్థాలు,",,"अवशेष, कचरा",
eccentricities,/ˌɛk sənˈtrɪs ɪ ti/,ek-suh n-tris-i-tee,2,2,NOUN,The quality of being eccentric.,His eccentricity now extends to never washing or changing his clothes.,,extraordinariness.,strangeness,weirdness,,"వికారమైన గుణం, వింతైన గుణము,తలతిక్క, విపరీత మనస్తత్వం.",,"अनियत , अनोखापन ,  असामान्यता",
effective,/ɪˈfɛk tɪv,ih-fek-tiv,2,5,ADJECTIVE,successful or achieving the results that you want.,It's an extremely effective cure for a headache.,,potent,productive,successful,,"కట్టుదిట్టమైన, కార్యసాధకమైన, ఫలవంతమైన, సార్థక,",,"उपयोगी, प्रभावकारी",
feasible,/ˈfi zə bəl/,fee-zuh-buh l,2,2,NOUN,Possible and practical to do easily or conveniently.,"With the extra resources, the project now seems feasible.",,achievable,sensible,within reason,,"ఆచరణ యోగ్యం, సాధ్యం,ఆచరణ,సంభావ్య.",,"साध्य , सुकर , सुसंगत",
garbage,/ˈɡɑːr.bɪdʒ/,gahr-bij,2,3,NOUN,"waste material, esp. unwanted food, or a container in which waste iskept",She threw the cheese in the garbage.,,discarded matter.,rubbish,waste material,,"చెత్త, వ్యర్థ పదార్థం.",,"कूडा, कूड़ा-कचरा, गंदगी",
hesitate,ˈhɛz ɪˌteɪt,hez-i-teyt,2,3,VERB,Pause in indecision before saying or doing something.,"If you need anything, don’t hesitate to call me.",,delay,doubt,pause,,"సంకోచించు, వెనుకాడు, వెనుదీయు,సందేహింౘు",,"हिचकिचाना, संकोच करना.",
impeach,/ɪmˈpitʃ/,[im-peech],2,1,VERB,Call into question the integrity or validity of,The governor was impeached for wrongful use of state money.,,cast doubt on,challenge,question,,"ఆక్షేపించుట,  కాదనుట,  దోషారోపణముచేయుట,  నేరముమోపుట.",,"आरोप , अभियोग लगाना , दोष लगाना",
implication,/ˌɪm plɪˈkeɪ ʃən/,im-pli-key-shuh n,2,3,NOUN,an occasion when you seem to suggest something without saying it directly:,"She accused the party and, by implication, its leader too.",,hint,indication,suggestion,,"గూఢార్థం, అన్యార్థం, చిక్కు",,"अनुमान ,अर्थ,फंसाव",
lacuna,/ləˈkyu nə/,luh-kyoo-nuh,2,2,NOUN,An unfilled space; a gap.,"There are many lacunae in the existing laws of the land, he said.’",,deficiency,gap,space,,"లుప్తం, రంధ్రం, ఖాళీ, సందు, లోపం, జాగా, అంతరం",,"अंतराल, कमी ,छूट",
manhandle,ˈmænˌhæn dl,man-han-dl,2,4,VERB,"to touch or hold someone roughly and with force, often when taking them somewhere.",There were complaints that the police had manhandled some of the demonstrators.,,haul,heave,shove.,,"చెయ్యి చేసుకొను, దౌర్జ న్యంగా కొట్టు.",,"उठा कर ले जाना,हाथों से चलाना,मारना",
molest,/məˈlest/,muh-lest,2,4,VERB,To touch or attack someone in a sexual way against their wishes.,He was convicted of molesting his girlfriend.,,harass,harm,hurt,,"వేధించుట,హింసపెట్టుట, బాధించు.",,,
pioneer,ˌpaɪ əˈnɪər,pahy-uh-neer,2,5,NOUN,"to be the first person or organization to start work in a new area,introduce a new idea, etc.","They are like pioneers settling down to build a village,’ Kolter says.’",,colonist,discoverer.,settler,,"వైతాళికుడు, అగ్రగామి, మార్గదర్శ కుడు, పథ నిర్దేశకుడు.",,"खोज करनेवाला,अग्र-दूत, मार्ग-निर्माता",
popularise,ˈpɒp yə ləˌraɪz,pop-yuh-luh-rahyz,2,4,VERB,"to cause something to become known, admired, or used by many people.",his books have done much to popularize the sport’,,create a fashion for.,make fashionable,make popular,,"వ్యాప్తి చేయు,వివరింపు జేయు.",,"प्रचलित करना, लोकप्रिय बनाना, आसान बनाना",
prohibit,/proʊˈhɪb ɪt/,proh-hib-it,2,5,VERB,to officially refuse to allow something.,Motor vehicles are prohibited from driving in the town centre.,,ban,disallow,forbid,,"నిషేధించు, ఆపు, కాదను, ఆటంకపఱౘు.",,"रोकना , निषेध करना",
protest,/ˈprəʊtɛst/,[proh-test],2,1,NOUN,A statement or action expressing disapproval of or objection to something.,The British team lodged an official protest.,All groups have united in protest against the planned new road.,disagreement.,disapproval,objection,,"ప్రతిఘటన, అభ్యంతరం, దృఢముగా చెప్పడము.",,"प्रतिवाद, विरोध",
rain,reɪn,reyn,2,5,NOUN,drops of water from clouds.,the rain had not stopped for days,,wet weather,precipitation,rainfall,,"వాన, వర్షము,వానకురియు",,"वर्षा ,बारिश होना,बरसात",
rampage,ræmˈpeɪdʒ,ram-peyj,2,4,VERB,to go through an area making a lot of noise and causing damage.,several thousand demonstrators rampaged through the city,,"rush wildly,",riot,"rush madly,",,"తీవ్రంగా ప్రవర్తించు, ఆవేశ పడు, ఉద్రేకపడు",,"क्रोध,गरजना.",
spawn,/spɔn/,spawn,2,4,VERB,"to cause something new, or many new things, to grow or start suddenly.",the fish spawn among fine-leaved plants,,bring about,generate,originate,,గుడ్లుపెట్టుట.,,"कुलबुलाना  ,बोयाना  ,जन्म देना",
spicy,/ˈspʌɪsi/,spahy-see,2,5,ADJECTIVE,containing strong flavours from spices.,pasta in a spicy tomato sauce.,,"tangy, peppery, hot, picante.",,,,"రుచిగల,వాసనగల, కారమైన,  మసాలా వాసన.",,"मसालेदार,रोचक.",
strewn,stru,stroo,2,4,VERB,Scatter or spread (things) untidily over a surface or area.,Wine bottles and dirty dishes were strewn across the lawn.,,broadcast,distribute,sprinkle,,"ౘల్లు, పఱౘు.",,बिखरा हुआ,
tamper,ˈtæm pər,tam-per,2,3,VERB,to touch or change something without permission or without enough knowledge of how it works.,someone tampered with the brakes of my car,,fiddle about,interfere,monkey around,,"క్రమంగా సవరించు, కలుగచేసుకొను, సాక్ష్యంమార్చు,చెడగొట్టు,",,"हस्तक्षेप करना,छेड़खानी करना",
ubiquitous,/yuˈbɪk wɪ təs/,yoo-bik-wi-tuh s,2,3,ADJECTIVE,"Present, appearing, or found everywhere.",The eelgrass limpet used to be ubiquitous on the New England coast.,,all-over,global.,omnipresent,universal,"సర్వవ్యాపియైన, అంతట నున్న,సర్వాంతర్యామి.",,"हर एक जगह का,  सब जगह का  ,हर जगह का  ,सर्वत्र का",
undeniable,ˌʌn dɪˈnaɪ ə bəl,uhn-di-nahy-uh-buh l,2,5,ADJECTIVE,Unable to be denied or disputed.,it is an undeniable fact that some dogs are easier to train than others,,evident,indubitable,unquestionable,,"స్పష్టముగా, ప్రత్యక్షముగా, సాక్షాత్తుగా, నిశ్చయముగా.",,"अखंडनीय,निर्विवाद",
versed,vɜrst,vurst,2,2,ADJECTIVE,to know a lot about a particular subject or be experienced in a particular skill.,I'm not sufficiently versed in XML to understand what you're saying.,,acquainted,familiar.,practised,skilled,"నిపుణతగల, సమర్థతగల",,"अनुभवी , निपुण,प्रवीण.",
victim,/ˈvɪktɪm/,vik-tim,2,2,NOUN,"A person harmed, injured, or killed as a result of a crime, accident, or other event or action.",The new drug might help save the lives of cancer victims.,victims of domestic violence.,,,,,"భాధితుడు,  భాధితురాలు,  దేనివలనఁగాని హతుఁడైనవాఁడు",,"पीडित व्यक्ति, दोषित,घायल",
abundant,/əˈbʌn dənt/,uh-buhn-duh nt,3,1,ADJECTIVE,more than enough.,an abundant supply of food,,overflowing,plentiful,teeming.,,"అమితమైన, ధారాళంగా, అధికమైన, సంపూర్ణమైన, పుష్టియైన, సమృద్ధ.",,"अतिशय , अधिक , घनेरा , ज़्यादा",
amply,/ˈæm pli/,am-plee,3,4,ADVERB,Enough or more than enough; plentifully.,the persistent reader is amply rewarded’,,lavishly,liberally,munificently,,"విస్తారముగా, యథేష్టముగా, చాలా.",,"बहुतायात से, पर्याप्त रूप से",
ancient,ˈeɪn ʃənt,eyn-shuh nt,3,2,ADJECTIVE,Belonging to the very distant past and no longer in existence.,People have lived in this valley since ancient times.,,earliest,past.,very old,,"పురాతనమైన, ప్రాచీనమైన, ముసిలి.",,"बहुत पुराना,प्राचीन समय का,पुरातन.",
apathy,/ˈæp ə θi/,ap-uh-thee,3,5,NOUN,"Lack of interest, enthusiasm, or concern.",The issue of student apathy has been tossed around a lot this past couple weeks.’,,lack of interest,passiveness,uninterestedness,,"ఉదాసీనత, నిర్లక్ష్యం, అలసత్వం, శ్రద్ధలేని, అనాసక్తి.",,"अनुरागहीनता, उदासीनता",
assurance,"əˈʃʊər əns, -ˈʃɜr-",uh-shoo r-uh ns,3,3,NOUN,A positive declaration intended to give confidence; a promise.,he gave an assurance that work would begin on Monday.,,affirmation,oath,vow,,,,"आश्वासन , बीमा .",
bag,/bæg/,bag,3,1,NOUN,"A flexible container with an opening at the top, used for carrying things.",a grocery/shopping bag,,container.,receptacle,,,"బ్యాగ్‌, సంచి, మూట.",,"थैला, बटुआ,बैग",
boom,/buːm/,boom,3,2,NOUN,"a period of sudden economic growth. (or) a deep, loud sound.",This year has seen a boom in book sales.,What you heard was the boom of a rocket.,prosper,resound,,,"అనూహ్యమైన పెరుగుదల, గర్జన, ఉరమటం.",,"तेजी से बढना, धूम मचाना","പെട്ടെന്നുളള വളര്‍ച്ച,  മുഴക്കമുളള ശബ്ദം"
comical,ˈkɒm ɪ kəl,kom-i-kuh l,3,5,ADJECTIVE,"Amusing, especially in a ludicrous or absurd way.",He looked so comical in that hat.,,comic,funny,hilarious,jocular,"హాస్యకరమైన, వికారమైన, నవ్వును పుట్టించెడు.",,"हास्यकर,कौतुकी,अनोखा",
commence,kəˈmɛns,kuh-mens,3,3,VERB,to begin something.,his design team commenced work.,,begin,start,start off.,,"మొదలుపెట్టు, ప్రారంభించు",,"आरंभ होना,शुरू करना,प्रारंभ होना",
commercial,/kəˈmɜr ʃəl/,kuh-mur-shuh l,3,4,ADJECTIVE,Concerned with or engaged in commerce.,The commercial future of the company looks very promising.,,business,sales.,trading,,"వాణిజ్య, వాణిజ్య సంబంధ మైన; లాభాపేక్షతో కూడిన.",,"वाणिज्यिक, व्यापारिक",
copious,/ˈkoʊ pi əs/,koh-pee-uh s,3,2,ADJECTIVE,Abundant in supply or quantity.,They drank copious amounts of wine.,,abundant,bountiful,overflowing,,"విస్తృత, విశాల, తగినంత.",,"अधिक , प्रचुर , बहुत",
deck,dɛk,dek,3,1,VERB,Decorate or adorn brightly or festively.,The room was decked with flowers.,,adorn,decorate,garland,,అలంకరించబడిన,,"संवारना, सजाना, ढकना",
decline,dɪˈklaɪn,dih-klahyn,3,2,VERB,"when something becomes less in amount, importance, quality, or strength",the birth rate continued to decline.,,decrease,get smaller,reduce,,"నిరాకరించడం, తిరస్కరించడం; తగ్గిపోవడం.",,"कम होना,क्षीण होना, मानना",
deteriorate,/dɪˈtɪər i əˌreɪt/,dih-teer-ee-uh-reyt,3,1,VERB,Become progressively worse.,She went into the hospital when her condition began to deteriorate.,,decay,decompose,spoil,,"తగ్గు, క్షీణించు, క్షీణింపచేయు, చెడగొట్టు, హీనస్థితి నొందు, గుణం చెడు, విలువతగ్గు.",,"बिगाड़ना, क्षय होना , भ्रष्ट करना",
eloquent,/ˈɛl ə kwənt/,el-uh-kwuh nt,3,1,ADJECTIVE,"giving a clear, strong message.",The pictures were an eloquent reminder of the power of the volcano.,,expressive,fluent,persuasive,,"అనర్గళంగా,1. వాగ్ధాటిగల, శబ్దచాతుర్యముగల, వక్తయైన,పటుత్వముతోను చెప్పఁబడిన.",,"वाक्पटु , वाग्मी , शब्दचतुर",
emanate,/ˈɛm əˌneɪt/,em-uh-neyt,3,3,VERB,To express a quality or feeling through the way that you look and behave.,Her face emanated sadness.,He emanates power and confidence.,produce,show sth,,,"బయటపడు, నిర్గమించు",,,
feign,/feɪn/,feyn,3,2,VERB,"to pretend to have a particular feeling, problem",She responded to his remarks with feigned amusement.,,make a show of,play at,simulate,,"నటించు, కల్పించు, సృష్టించు, నేరంమోపు, కుంటిసాకు చెప్పు.",,"बहाना करना,झूठा करना,छल करना",
garner,/ˈgɑr nər/,gahr-ner,3,3,VERB,"to collect something, usually after much work or with difficulty.",the police struggled to garner sufficient evidence’,,assemble,collect,gather,,"సంపాదించు, పొందు,",,"इकट्ठा करना,एकत्र करना, संग्रह करना",
hesitation,/hɛzɪˈteɪʃn/,hez-i-tey-shuh n,3,3,NOUN,"the act of pausing before doing something, especially because you are nervous or not certain.",she answered without hesitation.,"After a slight hesitation, she began to speak.",doubt,reluctance,uncertainty,,"అనుమానము, సందేహము",,,
inaugurate,"ɪnˈɔ gyəˌreɪt, -gə-",in-aw-gyuh-reyt,3,1,VERB,"Begin or introduce (a system, policy, or period).",He wants to inaugurate his museum with elaborate opening ceremonies.,,establish,initiate,launch,,"పట్టముగట్టబడ్డ,పట్టాభిషిక్తుడైన.",,"अभिषेक करना, प्रथम परिचय करवाना",
inception,ɪnˈsɛp ʃən,in-sep-shuh n,3,3,NOUN,The establishment or starting point of an    institution or activity.,she has been on the board since its inception two years ago,,establishment,formation,founding,,"ప్రారంభం,మొదలు, ఉపక్రమణ,తొలిదశ",,आरम्भ.,
lambaste,læmˈbeɪst,lam-beyst,3,4,VERB,to criticize someone or something severely,His first novel was lambasted by the critics.,,attack,condemn,take to task,,ఖండిస్తూ.,,"चाबुक से मारना,बुरी तरह से फटकारना",
maritime,ˈmær ɪˌtaɪm,mar-i-tahym,3,4,ADJECTIVE,"Connected with the sea, especially in relation to seaborne trade or naval matters.",Amalfi and Venice were important maritime powers.,,marine,naval,ocean-going,,"సముద్రసంబంధమైన, సముద్రపు,నౌకా సంబంధి, నావిక.",,"समुद्रीय,समुद्र के निकट स्थित, समुंदर का",
monstrous,/ˈmɒn strəs/,mon-struh s,3,5,ADJECTIVE,very cruel.,a monstrous crime,,disgusting,dread,repellent,,"విపరీతం, భయానక, రాక్షస, అసహజ.",,"करालरूप, भयानक, राक्षसी",
owe,/oʊ/,oh,3,4,VERB,.to have the responsibility to pay or give back something you have received from someone:,you owe me ten dollars,,be in arrears,be indebted,be under an obligation to.,,"బాకీపడు, రుణపడి ఉండు; బాధ్యత కలిగి ఉండు.",,"ऋणी होना, चाहना",
pity,ˈpɪt i,pit-ee,3,5,NOUN,The feeling of sorrow and compassion caused by the sufferings and misfortunes of others.,her voice was full of pity’,,emotion.,sorrow,sympathy,,"జాలి,దయ; జాలిపడు, దయచూపు,కనికరం.",,"करुणा , दया ,तरस",
